State,City,Zipcode,Store Number,URL,mintemp_f,maxtemp_f,avgtemp_f,totalprecip_in,avghumidity,condition,icon,DMA
Florida,N Miami Beach,33162,251,https://www.homedepot.com/l/N-Miami-Beach/FL/North-Miami-Beach/33162/251,84.4,88.2,86.9,0.02,66.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,N Miami/Biscayne,33181,6322,https://www.homedepot.com/l/N-Miami-Biscayne/FL/Miami/33181/6322,84.4,88.2,86.9,0.02,66.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,N Pensacola,32534,8472,https://www.homedepot.com/l/N-Pensacola/FL/Pensacola/32534/8472,79.7,90.0,86.5,0.25,69.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,Naples,34109,280,https://www.homedepot.com/l/Naples/FL/Naples/34109/280,78.6,91.8,86.9,0.54,68.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,SE
Florida,Ne Bradenton,34208,1863,https://www.homedepot.com/l/Ne-Bradenton/FL/Bradenton/34208/1863,78.8,90.5,86.0,0.33,68.0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,SE
Florida,New Smyrna Beach,32168,6936,https://www.homedepot.com/l/New-Smyrna-Beach/FL/New-Smyrna-Beach/32168/6936,77.5,88.2,85.5,0.0,70.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,SE
Florida,North Port,34287,8528,https://www.homedepot.com/l/North-Port/FL/North-Port/34287/8528,75.9,91.6,86.4,0.2,70.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,SE
Florida,Northgate,33604,279,https://www.homedepot.com/l/Northgate/FL/Tampa/33604/279,80.1,92.5,87.8,0.03,62.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Florida,Nw Dade,33014,209,https://www.homedepot.com/l/Nw-Dade/FL/Hialeah/33014/209,84.6,90.7,88.7,0.02,61.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,Oakland Park,33311,249,https://www.homedepot.com/l/Oakland-Park/FL/Oakland-Park/33311/249,84.9,91.2,89.0,0.0,60.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,Ocala,34474,253,https://www.homedepot.com/l/Ocala/FL/Ocala/34474/253,74.8,93.6,86.9,0.0,66.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Florida,Okeechobee,34974,6878,https://www.homedepot.com/l/Okeechobee/FL/Okeechobee/34974/6878,76.8,88.5,85.5,0.37,76.0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,SE
Florida,Orange City,32763,6323,https://www.homedepot.com/l/Orange-City/FL/Orange-City/32763/6323,77.0,92.8,87.8,0.08,63.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,SE
Florida,Orange Park,32073,275,https://www.homedepot.com/l/Orange-Park/FL/Orange-Park/32073/275,80.8,94.6,90.8,0.0,60.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
