State,City,Zipcode,Store Number,URL
California,Gilroy,95020,6677,https://www.homedepot.com/l/Gilroy/CA/Gilroy/95020/6677
California,Glendale,91204,649,https://www.homedepot.com/l/Glendale/CA/Glendale/91204/649
California,Glendora,91740,6617,https://www.homedepot.com/l/Glendora/CA/Glendora/91740/6617
California,Goleta,93117,6623,https://www.homedepot.com/l/Goleta/CA/Goleta/93117/6623
California,Hanford,93230,1073,https://www.homedepot.com/l/Hanford/CA/Hanford/93230/1073
California,Hawthorne,90250,620,https://www.homedepot.com/l/Hawthorne/CA/Hawthorne/90250/620
California,Hayward,94541,1017,https://www.homedepot.com/l/Hayward/CA/Hayward/94541/1017
California,Hemet,92545,6637,https://www.homedepot.com/l/Hemet/CA/Hemet/92545/6637
California,Hercules,94547,1044,https://www.homedepot.com/l/Hercules/CA/Hercules/94547/1044
California,Hillsdale,95124,1009,https://www.homedepot.com/l/Hillsdale/CA/San-Jose/95124/1009
California,Huntington Beach,92646,6963,https://www.homedepot.com/l/Huntington-Beach/CA/Huntington-Beach/92646/6963
California,Huntington Beach II,92647,6646,https://www.homedepot.com/l/Huntington-Beach-II/CA/Huntington-Beach/92647/6646
California,Huntington Park,90255,1002,https://www.homedepot.com/l/Huntington-Park/CA/Huntington-Park/90255/1002
California,Hyde Park,90047,1039,https://www.homedepot.com/l/Hyde-Park/CA/Los-Angeles/90047/1039
California,Imperial Beach,92154,671,https://www.homedepot.com/l/Imperial-Beach/CA/San-Diego/92154/671
California,Imperial Marketplace,92113,1032,https://www.homedepot.com/l/Imperial-Marketplace/CA/San-Diego/92113/1032
California,Indio,92203,6874,https://www.homedepot.com/l/Indio/CA/Indio/92203/6874
California,Industry,91748,607,https://www.homedepot.com/l/Industry/CA/City-Of-Industry/91748/607
California,Inglewood,90303,1010,https://www.homedepot.com/l/Inglewood/CA/Inglewood/90303/1010
California,Kifer Rd,94086,640,https://www.homedepot.com/l/Kifer-Rd/CA/Sunnyvale/94086/640
California,La Habra,90631,6657,https://www.homedepot.com/l/La-Habra/CA/La-Habra/90631/6657
California,La Mirada,90638,684,https://www.homedepot.com/l/La-Mirada/CA/La-Mirada/90638/684
California,La Quinta,92253,6630,https://www.homedepot.com/l/La-Quinta/CA/La-Quinta/92253/6630
California,Ladera Heights,90056,1061,https://www.homedepot.com/l/Ladera-Heights/CA/Los-Angeles/90056/1061
California,Laguna Hills,92637,6628,https://www.homedepot.com/l/Laguna-Hills/CA/Laguna-Hills/92637/6628
California,Laguna Niguel,92677,1077,https://www.homedepot.com/l/Laguna-Niguel/CA/Laguna-Niguel/92677/1077
California,Lake Elsinore,92530,8988,https://www.homedepot.com/l/Lake-Elsinore/CA/Lake-Elsinore/92530/8988
California,Lake Forest,92630,6668,https://www.homedepot.com/l/Lake-Forest/CA/Lake-Forest/92630/6668
California,"Lakewood, CA",90712,6614,https://www.homedepot.com/l/Lakewood-CA/CA/Lakewood/90712/6614
California,Lancaster,93534,6651,https://www.homedepot.com/l/Lancaster/CA/Lancaster/93534/6651
California,Lemon Grove,91945,659,https://www.homedepot.com/l/Lemon-Grove/CA/Lemon-Grove/91945/659
California,Lincoln,95648,8571,https://www.homedepot.com/l/Lincoln/CA/Lincoln/95648/8571
California,Livermore,94551,6678,https://www.homedepot.com/l/Livermore/CA/Livermore/94551/6678
California,"Lodi, CA",95240,6660,https://www.homedepot.com/l/Lodi-CA/CA/Lodi/95240/6660
California,Lompoc,93436,6681,https://www.homedepot.com/l/Lompoc/CA/Lompoc/93436/6681
California,Long Beach,90755,1062,https://www.homedepot.com/l/Long-Beach/CA/Signal-Hill/90755/1062
California,Los Banos,93635,8427,https://www.homedepot.com/l/Los-Banos/CA/Los-Banos/93635/8427
California,Madera,93637,1088,https://www.homedepot.com/l/Madera/CA/Madera/93637/1088
California,ManteCA,95336,1006,https://www.homedepot.com/l/ManteCA/CA/Manteca/95336/1006
California,Marina Del Rey,90066,6611,https://www.homedepot.com/l/Marina-Del-Rey/CA/Los-Angeles/90066/6611
California,Martinez,94553,1380,https://www.homedepot.com/l/Martinez/CA/Martinez/94553/1380
California,Meadowview,95832,1003,https://www.homedepot.com/l/Meadowview/CA/Sacramento/95832/1003
California,Merced,95341,6618,https://www.homedepot.com/l/Merced/CA/Merced/95341/6618
California,Mira Mesa,92126,6679,https://www.homedepot.com/l/Mira-Mesa/CA/San-Diego/92126/6679
California,Mission Viejo,92692,614,https://www.homedepot.com/l/Mission-Viejo/CA/Mission-Viejo/92692/614
California,Modesto,95351,6601,https://www.homedepot.com/l/Modesto/CA/Modesto/95351/6601
California,Monrovia,91016,6629,https://www.homedepot.com/l/Monrovia/CA/Monrovia/91016/6629
California,Monterey Park,91755,2304,https://www.homedepot.com/l/Monterey-Park/CA/Monterey-Park/91755/2304
California,Moreno Valley,92557,616,https://www.homedepot.com/l/Moreno-Valley/CA/Moreno-Valley/92557/616
California,Moreno Valley II,92551,1087,https://www.homedepot.com/l/Moreno-Valley-II/CA/Moreno-Valley/92551/1087
California,Morgan Hill,95037,8572,https://www.homedepot.com/l/Morgan-Hill/CA/Morgan-Hill/95037/8572
California,Murrieta,92562,668,https://www.homedepot.com/l/Murrieta/CA/Murrieta/92562/668
California,N Fresno,93720,1014,https://www.homedepot.com/l/N-Fresno/CA/Fresno/93720/1014
California,N Hollywood,91605,6613,https://www.homedepot.com/l/N-Hollywood/CA/North-Hollywood/91605/6613
California,N Oceanside,92057,1018,https://www.homedepot.com/l/N-Oceanside/CA/Oceanside/92057/1018
California,N Santa Ana,92705,6680,https://www.homedepot.com/l/N-Santa-Ana/CA/Santa-Ana/92705/6680
California,Napa,94559,6652,https://www.homedepot.com/l/Napa/CA/Napa/94559/6652
California,Ne Bakersfield,93306,1060,https://www.homedepot.com/l/Ne-Bakersfield/CA/Bakersfield/93306/1060
California,"Newark,CA",94560,6964,https://www.homedepot.com/l/Newark-CA/CA/Newark/94560/6964
California,Newhall,91355,1055,https://www.homedepot.com/l/Newhall/CA/Santa-Clarita/91355/1055
California,North Fontana,92336,6960,https://www.homedepot.com/l/North-Fontana/CA/Fontana/92336/6960
California,North Upland,91784,1083,https://www.homedepot.com/l/North-Upland/CA/Upland/91784/1083
California,Nw Bakersfield,93312,1064,https://www.homedepot.com/l/Nw-Bakersfield/CA/Bakersfield/93312/1064
California,Nw Victorville,92394,1844,https://www.homedepot.com/l/Nw-Victorville/CA/Victorville/92394/1844
California,Oakland,94601,1007,https://www.homedepot.com/l/Oakland/CA/Oakland/94601/1007
California,Oceanside,92056,679,https://www.homedepot.com/l/Oceanside/CA/Oceanside/92056/679
California,"Ontario,CA",91762,6884,https://www.homedepot.com/l/Ontario-CA/CA/Ontario/91762/6884
California,Orange (k),92865,6965,https://www.homedepot.com/l/Orange-k/CA/Orange/92865/6965
California,"Orange, CA",92867,615,https://www.homedepot.com/l/Orange-CA/CA/Orange/92867/615
